id,product_name,product__version,category
1,Andalax,8.8,4
2,It,3.6,9
3,Tempsoft,5.6,1
4,Ronstring,0.6.6,5
5,Vagram,0.54,3
6,Zoolab,8.76,6
7,Cardify,0.4.5,3
8,Sonair,4.8,9
9,Toughjoyfax,1.1.7,3
10,Greenlam,4.34,5
11,Alphazap,6.4.9,9
12,Flowdesk,9.2,2
13,Fintone,4.77,6
14,Stronghold,5.0.1,9
15,Transcof,7.3,5
16,Tampflex,2.1.9,6
17,Veribet,4.20,6
18,Solarbreeze,0.4.6,10
19,Stim,7.8.9,9
20,Bitchip,3.4,5
21,Flexidy,3.76,8
22,Prodder,5.10,8
23,Veribet,0.13,8
24,Fix San,1.1,2
25,Toughjoyfax,6.76,3
26,Flowdesk,0.7.4,5
27,Stim,6.9,1
28,Bytecard,3.37,8
29,Ronstring,8.9.3,10
30,Toughjoyfax,8.3.3,1
31,Flexidy,3.1.6,9
32,Aerified,9.11,6
33,Wrapsafe,0.17,8
34,Subin,5.1.9,9
35,Vagram,2.6,2
36,Treeflex,0.9.6,2
37,Greenlam,0.9.0,8
38,Y-find,3.5,4
39,Overhold,4.6,2
40,Bamity,3.39,1
41,Regrant,9.9.0,10
42,Gembucket,0.6.2,8
43,Cardify,0.8.3,7
44,Ronstring,0.57,4
45,Asoka,0.6.7,1
46,Treeflex,4.1.5,3
47,Bamity,2.9,7
48,It,0.59,8
49,Toughjoyfax,6.8.2,2
50,Overhold,0.9.1,9
51,Vagram,0.3.3,6
52,Toughjoyfax,0.5.7,8
53,Voyatouch,0.23,5
54,Opela,2.8.9,8
55,Cardguard,6.14,3
56,Cookley,0.21,8
57,Greenlam,9.42,1
58,Transcof,1.8,10
59,Overhold,0.8.8,7
60,Zoolab,8.9,6
61,Tempsoft,0.4.6,7
62,Aerified,3.64,1
63,It,0.5.6,2
64,Duobam,9.1.7,1
65,Konklux,4.1,3
66,Transcof,0.48,6
67,Voltsillam,0.96,7
68,Wrapsafe,6.5.8,10
69,Cardify,0.73,4
70,Voyatouch,7.6.5,5
71,Transcof,0.4.8,8
72,Ventosanzap,0.81,5
73,Zathin,0.51,1
74,Bitwolf,0.89,1
75,Home Ing,1.25,7
76,Andalax,0.21,10
77,Regrant,0.85,3
78,Stim,0.89,4
79,Mat Lam Tam,0.42,10
80,Span,4.5.0,9
81,Stronghold,1.07,6
82,Overhold,7.8.9,5
83,Konklab,1.7,1
84,Transcof,4.2.5,10
85,Keylex,0.3.6,7
86,Cardify,9.6.9,2
87,Temp,9.8,6
88,Regrant,2.4.0,7
89,Bitwolf,0.45,10
90,Y-Solowarm,8.9.7,10
91,Stringtough,0.9.0,4
92,Asoka,0.3.2,10
93,Fix San,8.6,9
94,Gembucket,9.49,10
95,Gembucket,9.19,4
96,Veribet,8.0.2,10
97,Greenlam,2.9.0,1
98,Redhold,0.76,10
99,Hatity,3.41,7
100,Bamity,0.9.5,7
101,Job,7.4.2,1
102,Transcof,5.7,2
103,Zathin,4.8.6,10
104,Asoka,5.5,9
105,Solarbreeze,0.5.7,4
106,Veribet,0.9.6,6
107,Veribet,0.2.3,6
108,Tampflex,0.39,1
109,Y-find,0.8.0,4
110,Sonsing,0.63,10
111,Home Ing,4.7,8
112,Mat Lam Tam,3.0.2,7
113,Veribet,9.80,10
114,Zamit,0.3.5,1
115,Zaam-Dox,0.3.8,7
116,Flexidy,0.36,8
117,Toughjoyfax,3.8.4,8
118,Lotstring,0.1.7,1
119,Aerified,5.6,4
120,Rank,0.10,2
121,Ventosanzap,0.8.0,2
122,Wrapsafe,9.95,3
123,Zontrax,8.13,10
124,Fintone,1.65,2
125,Otcom,4.5,1
126,Bamity,6.00,6
127,Hatity,6.41,4
128,Mat Lam Tam,9.99,1
129,Overhold,5.8.2,1
130,Alpha,0.49,1
